run_num, mean(test_R), test_R[[1]], test_R[[2]], mean(training_R), chosen_hidden_txt, chosen_input_dropout, chosen_l2, chosen_epochs
"55","0.839405289615414","0.83852197767282","0.840288601558009","0.945786649340151","| 260 | 25 | 2 |","0.0261927934481563","1.85879189114656e-06","500"
"56","0.843493801618888","0.841422034282375","0.8455655689554","0.874384279495395","| 450 | 30 | 3 |","0.000191345468599704","0.000170125427985259","500"
"57","0.841297719707195","0.847686601654398","0.834908837759992","0.947740312103592","| 220 | 20 | 3 |","0.000511788955021074","4.12462638290135e-07","500"
"58","0.846961059757507","0.849156522996129","0.844765596518885","0.907403945088909","| 225 | 60 | 50 | 20 | 2 |","0.000191345468599704","0.000170125427985259","500"
"59","0.82715615322842","0.830243940835482","0.824068365621357","0.839214311691978","| 450 | 30 | 3 |","0.000191345468599704","0.000766682207454622","500"
"60","0.847227789622156","0.845250026550625","0.849205552693688","0.939649194152158","| 220 | 20 | 3 |","0.501187233627272","3.77505320532439e-05","500"
"61","0.652233946326682","0.648841060290389","0.655626832362974","0.664127073632501","| 228 | 6 | 2 |","0.501187233627272","0.0155706840475373","500"
"62","0.844651799760901","0.848788198602795","0.840515400919006","0.934262588148035","| 130 | 30 | 3 |","7.15394265437649e-05","3.77505320532439e-05","500"
"63","0.841540123232104","0.839586738609939","0.843493507854269","0.930694994446818","| 228 | 6 | 2 |","0.000191345468599704","9.15247310877389e-08","500"
"64",NA,NA,NA,NA,"| 450 | 25 | 10 | 3 |","7.15394265437649e-05","0.316227766016838","500"
"65",NA,NA,NA,NA,"| 260 | 25 | 2 |","0.501187233627272","0.316227766016838","500"
"66","0.844935100278788","0.840124456083175","0.8497457444744","0.913547601769523","| 150 | 3 |","0.0261927934481563","4.12462638290135e-07","500"
